userId,movieId,rating
1,1,1.0
1,18,5.0
1,16,4.0
1,2,4.0
1,9,1.0
1,6,1.0
1,12,4.0
1,4,4.0
1,19,1.0
1,17,5.0
1,14,3.0
2,1,2.0
2,6,4.0
2,19,1.0
2,14,5.0
2,20,3.0
2,8,4.0
2,16,3.0
3,3,3.0
3,1,4.0
3,6,2.0
3,13,5.0
3,11,2.0
3,16,5.0
3,15,5.0
3,5,3.0
3,17,1.0
3,9,5.0
4,6,4.0
4,15,4.0
4,18,4.0
4,12,3.0
4,17,4.0
5,18,3.0
5,19,4.0
5,2,5.0
5,6,3.0
5,4,2.0
5,16,3.0
5,8,3.0
6,15,5.0
6,5,5.0
6,2,1.0
6,3,4.0
6,8,4.0
6,16,3.0
7,17,4.0
7,8,4.0
7,6,2.0
7,11,3.0
7,19,5.0
7,5,3.0
7,13,2.0
8,13,4.0
8,18,5.0
8,14,3.0
8,12,3.0
8,9,5.0
8,1,5.0
8,7,3.0
8,3,2.0
8,10,5.0
8,16,4.0
8,2,4.0
8,19,5.0
8,5,4.0
8,8,5.0
9,8,5.0
9,11,5.0
9,14,4.0
9,18,5.0
9,6,5.0
9,17,5.0
10,19,3.0
10,10,5.0
10,7,4.0
10,13,5.0
10,4,4.0
10,1,4.0
10,5,2.0
10,17,4.0
11,16,3.0
11,12,1.0
11,15,4.0
11,20,3.0
11,10,5.0
11,9,5.0
11,7,5.0
11,4,4.0
11,1,1.0
11,5,5.0
11,2,4.0
12,18,5.0
12,5,5.0
12,4,4.0
12,11,5.0
12,7,4.0
12,14,3.0
12,15,5.0
12,12,5.0
12,8,5.0
13,5,5.0
13,19,5.0
13,9,5.0
13,17,3.0
13,18,1.0
13,6,3.0
13,11,4.0
13,16,3.0
13,10,5.0
13,2,3.0
13,20,5.0
13,3,4.0
13,12,5.0
13,15,3.0
14,18,3.0
14,12,3.0
14,11,3.0
14,4,4.0
14,19,5.0
14,6,4.0
14,9,3.0
15,8,3.0
15,17,4.0
15,10,4.0
15,7,1.0
15,14,5.0
15,2,5.0
15,13,3.0
15,11,1.0
15,4,5.0
15,1,4.0
15,15,4.0
16,15,5.0
16,14,5.0
16,7,3.0
16,13,2.0
16,6,2.0
16,10,1.0
16,5,2.0
16,9,4.0
17,3,5.0
17,6,5.0
17,12,5.0
17,17,4.0
17,14,4.0
18,2,5.0
18,16,4.0
18,10,5.0
18,11,4.0
18,8,4.0
18,14,4.0
18,20,2.0
18,6,2.0
18,18,4.0
18,4,4.0
18,19,3.0
19,8,5.0
19,11,4.0
19,6,3.0
19,12,4.0
19,9,5.0
19,1,2.0
19,4,4.0
19,18,3.0
19,2,4.0
20,15,4.0
20,8,5.0
20,2,5.0
20,1,5.0
20,5,5.0
21,11,4.0
21,9,4.0
21,2,4.0
21,18,4.0
21,8,4.0
21,7,5.0
21,3,1.0
22,18,3.0
22,3,4.0
22,1,1.0
22,14,3.0
22,7,4.0
22,9,4.0
22,11,3.0
22,2,2.0
22,13,2.0
22,15,5.0
22,4,4.0
22,10,4.0
22,20,5.0
22,5,2.0
23,7,4.0
23,4,3.0
23,16,2.0
23,20,5.0
23,12,5.0
23,14,5.0
24,8,1.0
24,13,4.0
24,16,4.0
24,12,5.0
24,2,3.0
24,7,5.0
24,11,5.0
24,6,2.0
24,4,5.0
24,15,4.0
25,1,3.0
25,18,4.0
25,4,5.0
25,19,4.0
25,20,4.0
25,10,5.0
25,8,5.0
25,9,2.0
25,16,5.0
25,13,4.0
25,17,3.0
26,17,5.0
26,18,4.0
26,1,5.0
26,20,4.0
26,4,3.0
26,12,5.0
26,8,3.0
26,10,3.0
26,7,1.0
26,9,4.0
26,3,4.0
26,16,4.0
27,2,4.0
27,7,4.0
27,18,4.0
27,19,4.0
27,5,4.0
27,3,5.0
28,8,3.0
28,17,3.0
28,13,3.0
28,4,2.0
28,5,5.0
28,1,4.0
28,16,4.0
28,9,5.0
28,18,4.0
28,6,2.0
28,10,4.0
28,2,4.0
29,3,4.0
29,13,4.0
29,16,5.0
29,11,2.0
29,18,5.0
29,7,2.0
29,1,5.0
29,15,2.0
29,14,1.0
29,20,4.0
29,2,5.0
29,19,5.0
30,5,5.0
30,12,5.0
30,19,3.0
30,18,5.0
30,13,4.0
30,10,5.0
30,20,5.0
30,7,2.0
31,19,5.0
31,16,4.0
31,14,4.0
31,18,4.0
31,17,3.0
31,4,5.0
31,9,5.0
31,12,5.0
32,18,3.0
32,10,4.0
32,7,5.0
32,14,3.0
32,15,4.0
32,20,4.0
32,4,4.0
32,17,5.0
32,5,5.0
33,16,4.0
33,13,3.0
33,4,5.0
33,12,4.0
33,10,5.0
33,6,4.0
33,9,5.0
33,14,5.0
33,3,5.0
33,11,5.0
34,9,5.0
34,19,5.0
34,3,4.0
34,14,4.0
34,12,4.0
35,5,2.0
35,13,5.0
35,4,5.0
35,3,1.0
35,9,4.0
35,1,5.0
35,2,4.0
35,15,2.0
35,14,2.0
36,2,3.0
36,13,5.0
36,17,1.0
36,8,3.0
36,15,4.0
36,3,4.0
36,12,5.0
36,19,3.0
36,18,3.0
36,20,5.0
36,7,4.0
36,6,3.0
37,16,2.0
37,3,5.0
37,14,4.0
37,12,4.0
37,8,2.0
37,4,5.0
37,9,3.0
38,4,5.0
38,20,5.0
38,9,4.0
38,5,3.0
38,19,4.0
38,7,4.0
38,10,1.0
39,10,3.0
39,14,5.0
39,2,5.0
39,15,5.0
39,4,4.0
39,18,4.0
40,8,3.0
40,13,3.0
40,19,4.0
40,20,4.0
40,6,3.0
40,2,4.0
40,9,4.0
40,12,4.0
40,4,4.0
41,15,2.0
41,4,5.0
41,18,5.0
41,13,4.0
41,5,3.0
41,16,3.0
41,9,1.0
42,19,5.0
42,8,3.0
42,11,4.0
42,15,4.0
42,3,4.0
42,13,5.0
43,12,5.0
43,18,5.0
43,9,3.0
43,6,1.0
43,19,3.0
43,7,4.0
43,13,2.0
43,17,4.0
43,20,4.0
44,4,1.0
44,5,2.0
44,6,3.0
44,14,5.0
44,19,5.0
44,12,5.0
45,10,5.0
45,4,5.0
45,19,1.0
45,11,5.0
45,2,5.0
45,18,3.0
45,9,4.0
45,14,5.0
45,6,1.0
45,13,4.0
45,7,3.0
45,1,5.0
45,5,5.0
46,13,3.0
46,16,4.0
46,9,5.0
46,6,4.0
46,15,3.0
46,4,1.0
46,11,5.0
46,17,1.0
46,5,5.0
46,12,4.0
46,2,5.0
47,11,3.0
47,2,5.0
47,15,5.0
47,3,4.0
47,19,3.0
47,6,5.0
47,1,1.0
48,10,3.0
48,17,5.0
48,1,2.0
48,14,1.0
48,3,4.0
49,12,5.0
49,8,5.0
49,10,4.0
49,15,4.0
49,14,5.0
49,2,1.0
49,11,5.0
49,16,5.0
49,13,4.0
49,4,4.0
49,19,3.0
49,9,4.0
49,1,1.0
50,7,3.0
50,1,4.0
50,4,2.0
50,17,5.0
50,20,4.0
50,14,4.0
